name,pos,team,bye,tier,projected$,vbd,aav
"Keaton Mitchell",RB,LAC,7,RB8,-1.15,-3.28,1.2
"Isiah Pacheco",RB,DET,6,RB8,-1.37,-3.9,1.1
"Tre Tucker",WR,LV,13,WR7,-1.52,-4.35,1
"Bryce Young",QB,CAR,5,QB4,-1.79,-5.11,1.4
"Darren Waller",TE,CAR,5,TE6,-1.99,-5.68,1
"Rashod Bateman",WR,BAL,13,WR7,-2,-5.71,1
"Malik Davis",RB,DAL,14,RB8,-2.02,-5.76,1
"Kayshon Boutte",WR,HOU,8,WR7,-2.19,-6.24,1
"Chris Brooks",RB,GB,11,RB8,-2.24,-6.39,1
"Keenan Allen",WR,IND,13,WR7,-2.37,-6.78,1
"Jordan James",RB,SF,8,RB8,-2.52,-7.2,1
"Najee Harris",RB,NYG,8,RB8,-2.56,-7.3,0
"Evan Engram",TE,DEN,10,TE6,-2.69,-7.68,1
"Ja'Kobi Lane",WR,BAL,13,WR7,-2.74,-7.81,1
"Jalen McMillan",WR,TB,10,WR7,-2.81,-8.03,1
"Jauan Jennings",WR,MIN,6,WR7,-2.83,-8.09,1
"Mike Gesicki",TE,CIN,6,TE6,-3.07,-8.75,1
"Gunnar Helm",TE,TEN,9,TE6,-3.27,-9.32,1
"David Njoku",TE,LAC,7,TE6,-3.38,-9.64,1.5
"Tyrone Tracy Jr.",RB,NYG,8,RB8,-3.45,-9.85,1.1
"Jalen Nailor",WR,LV,13,WR7,-3.71,-10.58,1
"Devaughn Vele",WR,NO,8,WR7,-4.18,-11.93,1
"Cooper Kupp",WR,SEA,11,WR7,-4.4,-12.56,1
"Jaylin Noel",WR,HOU,8,WR7,-5,-14.27,1
"Kimani Vidal",RB,LAC,7,RB8,-5.24,-14.93,1
"Mason Taylor",TE,NYJ,13,TE7,-5.27,-15.03,0
"Brashard Smith",RB,KC,5,RB8,-5.32,-15.19,1
"Adonai Mitchell",WR,NYJ,13,WR7,-5.54,-15.8,1
"Colby Parkinson",TE,LAR,11,TE7,-5.59,-15.96,1
"Geno Smith",QB,NYJ,13,QB4,-5.66,-16.15,1
"Cam Ward",QB,TEN,9,QB4,-5.94,-16.95,1.3
"Oronde Gadsden II",TE,LAC,7,TE7,-5.95,-16.98,0
"Jaylen Wright",RB,MIA,6,RB8,-6.15,-17.53,1
"Michael Mayer",TE,LV,13,TE7,-6.23,-17.78,1
"Jacoby Brissett",QB,ARI,14,QB4,-6.26,-17.87,1
"Emanuel Wilson",RB,SEA,11,RB8,-6.36,-18.14,1
"Jordyn Tyson",WR,NO,8,WR8,-6.41,-18.29,2.2
"Germie Bernard",WR,PIT,9,WR8,-6.63,-18.9,1
"Malik Washington",WR,MIA,6,WR8,-6.7,-19.12,1
"Chris Bell",WR,MIA,6,WR8,-6.73,-19.19,1
"Jonah Coleman",RB,DEN,10,RB8,-6.81,-19.42,1
"Kyle Juszczyk",RB,SF,8,RB8,-7.04,-20.09,0
"Antonio Williams",WR,WAS,7,WR8,-7.06,-20.14,1
"Dawson Knox",TE,BUF,7,TE7,-7.18,-20.48,1
"Aaron Rodgers",QB,PIT,9,QB4,-7.27,-20.73,1.2
"Caleb Douglas",WR,MIA,6,WR8,-7.32,-20.88,1
"Omar Cooper Jr.",WR,NYJ,13,WR8,-7.39,-21.07,0
"Travis Hunter",WR,JAC,7,WR8,-7.46,-21.27,1.1
"James Conner",RB,ARI,14,RB8,-7.51,-21.42,1
"Dontayvion Wicks",WR,PHI,10,WR8,-7.52,-21.47,1
"Theo Johnson",TE,NYG,8,TE7,-7.55,-21.53,1
"Xavier Hutchinson",WR,HOU,8,WR8,-7.63,-21.77,0
"Isaiah Davis",RB,NYJ,13,RB8,-7.85,-22.4,1
"Tyquan Thornton",WR,KC,5,WR8,-8.09,-23.07,1
"Darnell Washington",TE,PIT,9,TE7,-8.17,-23.3,1
"Tory Horton",WR,SEA,11,WR8,-8.24,-23.52,1
"Troy Franklin",WR,DEN,10,WR8,-8.31,-23.7,1
"Emmett Johnson",RB,KC,5,RB8,-8.31,-23.71,1
"Darius Slayton",WR,NYG,8,WR8,-8.31,-23.72,1
"Erick All Jr.",TE,CIN,6,TE7,-8.38,-23.92,0
"Adam Randall",RB,BAL,13,RB8,-8.43,-24.04,1
"LeQuint Allen Jr.",RB,JAC,7,RB8,-8.45,-24.09,0
"Jacob Saylors",RB,DET,6,RB8,-8.5,-24.23,0
"Tyler Higbee",TE,LAR,11,TE8,-8.59,-24.51,0
"Xavier Legette",WR,CAR,5,WR8,-8.8,-25.1,1
"Roschon Johnson",RB,CHI,10,RB8,-8.84,-25.22,0
"Ray Davis",RB,BUF,7,RB8,-8.94,-25.5,1
"Jahan Dotson",WR,ATL,11,WR8,-8.96,-25.55,0
"Cole Kmet",TE,CHI,10,TE8,-9.12,-26.03,1
"Sean Tucker",RB,TB,10,RB8,-9.15,-26.1,1
"Seth McGowan",RB,IND,13,RB8,-9.19,-26.23,0
"Bryce Lance",WR,NO,8,WR8,-9.2,-26.26,0
"George Holani",RB,SEA,11,RB8,-9.36,-26.71,1
"Tre' Harris",WR,LAC,7,WR8,-9.42,-26.87,1
"Ryan Flournoy",WR,DAL,14,WR8,-9.43,-26.9,1
"Isaac TeSlaa",WR,DET,6,WR8,-9.45,-26.95,1
"Jalen Tolbert",WR,MIA,6,WR8,-9.6,-27.39,1
"Noah Fant",TE,NO,8,TE8,-9.87,-28.16,1
"Malachi Fields",WR,NYG,8,WR8,-9.9,-28.24,1
"Malik Benson",WR,LV,13,WR8,-9.9,-28.25,0
"Will Kacmarek",TE,MIA,6,TE8,-10,-28.53,0
"Andrei Iosivas",WR,CIN,6,WR8,-10,-28.53,1
"Ted Hurst III",WR,TB,10,WR8,-10.13,-28.91,0
"Emari Demercado",RB,DAL,14,RB8,-10.21,-29.12,1
"Charlie Kolar",TE,LAC,7,TE8,-10.29,-29.36,0
"Hollywood Brown",WR,PHI,10,WR8,-10.35,-29.54,1
"Corey Kiner",RB,NE,11,RB8,-10.38,-29.62,0
"Elic Ayomanor",WR,TEN,9,WR8,-10.43,-29.76,0
"Ollie Gordon II",RB,MIA,6,RB8,-10.47,-29.87,0
"DeMario Douglas",WR,NE,11,WR8,-10.52,-30.02,1
"Kendre Miller",RB,NO,8,RB8,-10.62,-30.31,1
"Chimere Dike",WR,TEN,9,WR8,-10.67,-30.44,1
"Audric Estime",RB,NO,8,RB8,-10.73,-30.62,1
"Will Shipley",RB,PHI,10,RB8,-10.76,-30.7,0
"Jonnu Smith",TE,GB,11,TE8,-10.78,-30.75,0
"Zachariah Branch",WR,ATL,11,WR8,-10.79,-30.78,1
"Eli Heidenreich",RB,PIT,9,RB8,-10.96,-31.27,0
"Brock Wright",TE,DET,6,TE8,-10.98,-31.32,0
"Hunter Luepke",RB,DAL,14,RB8,-10.98,-31.32,0
"Josh Oliver",TE,MIN,6,TE8,-10.99,-31.36,0
"Daniel Bellinger",TE,TEN,9,TE8,-11.04,-31.48,0
"Kaytron Allen",RB,WAS,7,RB8,-11.11,-31.7,1
"Keon Coleman",WR,BUF,7,WR8,-11.19,-31.93,1
"Adam Trautman",TE,DEN,10,TE8,-11.2,-31.96,0
"Raheim Sanders",RB,CLE,11,RB8,-11.21,-31.97,0
"Austin Hooper",TE,ATL,11,TE8,-11.31,-32.27,0
"Nicholas Singleton",RB,TEN,9,RB8,-11.33,-32.32,1
"Demond Claiborne",RB,MIN,6,RB8,-11.34,-32.35,1
"Tommy Tremble",TE,CAR,5,TE8,-11.34,-32.36,0
"Eli Raridon",TE,NE,11,TE8,-11.35,-32.39,0
"Noah Gray",TE,KC,5,TE8,-11.43,-32.6,0
"Tahj Brooks",RB,CIN,6,RB8,-11.45,-32.66,1
"DJ Giddens",RB,IND,13,RB8,-11.56,-32.97,1
"Rasheen Ali",RB,BAL,13,RB8,-11.63,-33.18,0
"Eli Stowers",TE,PHI,10,TE8,-11.66,-33.25,1
"Elijah Arroyo",TE,SEA,11,TE8,-11.73,-33.45,0
"Joshua Palmer",WR,BUF,7,WR8,-11.8,-33.66,0
"Pat Bryant",WR,DEN,10,WR8,-11.92,-34.01,1
"Michael Burton",RB,CLE,11,RB8,-12.07,-34.44,0
"Davis Allen",TE,LAR,11,TE8,-12.28,-35.04,0
"Ashton Dulin",WR,IND,13,WR8,-12.4,-35.37,0
"Marlin Klein",TE,HOU,8,TE8,-12.42,-35.42,0
"Andrew Beck",RB,NYJ,13,RB8,-12.42,-35.43,0
"Ja'Tavion Sanders",TE,CAR,5,TE8,-12.43,-35.47,0
"Elijah Higgins",TE,ARI,14,TE8,-12.43,-35.47,0
"Alec Ingold",RB,LAC,7,RB8,-12.45,-35.53,0
"Ameer Abdullah",RB,JAC,7,RB8,-12.52,-35.72,0
"Marvin Mims Jr.",WR,DEN,10,WR8,-12.58,-35.9,0
"John Bates",TE,WAS,7,TE8,-12.59,-35.91,0
"Isaac Guerendo",RB,SF,8,RB8,-12.63,-36.02,0
"KaVontae Turpin",WR,DAL,14,WR8,-12.71,-36.26,0
"Kevin Coleman Jr.",WR,MIA,6,WR8,-12.74,-36.35,0
"Darnell Mooney",WR,NYG,8,WR8,-12.81,-36.53,1
